"Division","School","Year.Percent","Type"
"Fairfax County Public Schools","Spring Hill Elementary",23,"Bachelor's Degree"
"Fairfax County Public Schools","Spring Hill Elementary",75,"Master's Degree"
"Fairfax County Public Schools","Spring Hill Elementary",3,"Doctoral Degree"
"Fairfax County Public Schools","Springfield Estates Elementary",27,"Bachelor's Degree"
"Fairfax County Public Schools","Springfield Estates Elementary",70,"Master's Degree"
"Fairfax County Public Schools","Springfield Estates Elementary",3,"Doctoral Degree"
"Fairfax County Public Schools","Stenwood Elementary",22,"Bachelor's Degree"
"Fairfax County Public Schools","Stenwood Elementary",76,"Master's Degree"
"Fairfax County Public Schools","Stenwood Elementary",2,"Doctoral Degree"
"Fairfax County Public Schools","Stone Middle",28,"Bachelor's Degree"
"Fairfax County Public Schools","Stone Middle",69,"Master's Degree"
"Fairfax County Public Schools","Stone Middle",3,"Doctoral Degree"
"Fairfax County Public Schools","Stratford Landing Elementary",18,"Bachelor's Degree"
"Fairfax County Public Schools","Stratford Landing Elementary",78,"Master's Degree"
"Fairfax County Public Schools","Stratford Landing Elementary",1,"Doctoral Degree"
"Fairfax County Public Schools","Sunrise Valley Elementary",23,"Bachelor's Degree"
"Fairfax County Public Schools","Sunrise Valley Elementary",77,"Master's Degree"
"Fairfax County Public Schools","Sunrise Valley Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Terra Centre Elementary",22,"Bachelor's Degree"
"Fairfax County Public Schools","Terra Centre Elementary",76,"Master's Degree"
"Fairfax County Public Schools","Terra Centre Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Terraset Elementary",32,"Bachelor's Degree"
"Fairfax County Public Schools","Terraset Elementary",68,"Master's Degree"
"Fairfax County Public Schools","Terraset Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Thomas Jefferson High for Science and Technology",15,"Bachelor's Degree"
"Fairfax County Public Schools","Thomas Jefferson High for Science and Technology",65,"Master's Degree"
"Fairfax County Public Schools","Thomas Jefferson High for Science and Technology",19,"Doctoral Degree"
"Fairfax County Public Schools","Thoreau Middle",33,"Bachelor's Degree"
"Fairfax County Public Schools","Thoreau Middle",66,"Master's Degree"
"Fairfax County Public Schools","Thoreau Middle",1,"Doctoral Degree"
"Fairfax County Public Schools","Timber Lane Elementary",22,"Bachelor's Degree"
"Fairfax County Public Schools","Timber Lane Elementary",75,"Master's Degree"
"Fairfax County Public Schools","Timber Lane Elementary",3,"Doctoral Degree"
"Fairfax County Public Schools","Twain Middle",24,"Bachelor's Degree"
"Fairfax County Public Schools","Twain Middle",71,"Master's Degree"
"Fairfax County Public Schools","Twain Middle",1,"Doctoral Degree"
"Fairfax County Public Schools","Union Mill Elementary",34,"Bachelor's Degree"
"Fairfax County Public Schools","Union Mill Elementary",64,"Master's Degree"
"Fairfax County Public Schools","Union Mill Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Vienna Elementary",33,"Bachelor's Degree"
"Fairfax County Public Schools","Vienna Elementary",67,"Master's Degree"
"Fairfax County Public Schools","Vienna Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Virginia Run Elementary",22,"Bachelor's Degree"
"Fairfax County Public Schools","Virginia Run Elementary",76,"Master's Degree"
"Fairfax County Public Schools","Virginia Run Elementary",2,"Doctoral Degree"
"Fairfax County Public Schools","Wakefield Forest Elementary",25,"Bachelor's Degree"
"Fairfax County Public Schools","Wakefield Forest Elementary",73,"Master's Degree"
"Fairfax County Public Schools","Wakefield Forest Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Waples Mill Elementary",15,"Bachelor's Degree"
"Fairfax County Public Schools","Waples Mill Elementary",82,"Master's Degree"
"Fairfax County Public Schools","Waples Mill Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Washington Mill Elementary",41,"Bachelor's Degree"
"Fairfax County Public Schools","Washington Mill Elementary",58,"Master's Degree"
"Fairfax County Public Schools","Washington Mill Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Waynewood Elementary",16,"Bachelor's Degree"
"Fairfax County Public Schools","Waynewood Elementary",84,"Master's Degree"
"Fairfax County Public Schools","Waynewood Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","West Potomac High",22,"Bachelor's Degree"
"Fairfax County Public Schools","West Potomac High",74,"Master's Degree"
"Fairfax County Public Schools","West Potomac High",2,"Doctoral Degree"
"Fairfax County Public Schools","West Springfield Elementary",34,"Bachelor's Degree"
"Fairfax County Public Schools","West Springfield Elementary",62,"Master's Degree"
"Fairfax County Public Schools","West Springfield Elementary",2,"Doctoral Degree"
"Fairfax County Public Schools","West Springfield High",26,"Bachelor's Degree"
"Fairfax County Public Schools","West Springfield High",69,"Master's Degree"
"Fairfax County Public Schools","West Springfield High",3,"Doctoral Degree"
"Fairfax County Public Schools","Westbriar Elementary",31,"Bachelor's Degree"
"Fairfax County Public Schools","Westbriar Elementary",68,"Master's Degree"
"Fairfax County Public Schools","Westbriar Elementary",2,"Doctoral Degree"
"Fairfax County Public Schools","Westfield High",23,"Bachelor's Degree"
"Fairfax County Public Schools","Westfield High",76,"Master's Degree"
"Fairfax County Public Schools","Westfield High",0,"Doctoral Degree"
"Fairfax County Public Schools","Westgate Elementary",27,"Bachelor's Degree"
"Fairfax County Public Schools","Westgate Elementary",73,"Master's Degree"
"Fairfax County Public Schools","Westgate Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Westlawn Elementary",23,"Bachelor's Degree"
"Fairfax County Public Schools","Westlawn Elementary",76,"Master's Degree"
"Fairfax County Public Schools","Westlawn Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Weyanoke Elementary",25,"Bachelor's Degree"
"Fairfax County Public Schools","Weyanoke Elementary",71,"Master's Degree"
"Fairfax County Public Schools","Weyanoke Elementary",4,"Doctoral Degree"
"Fairfax County Public Schools","White Oaks Elementary",23,"Bachelor's Degree"
"Fairfax County Public Schools","White Oaks Elementary",77,"Master's Degree"
"Fairfax County Public Schools","White Oaks Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Whitman Middle",34,"Bachelor's Degree"
"Fairfax County Public Schools","Whitman Middle",63,"Master's Degree"
"Fairfax County Public Schools","Whitman Middle",0,"Doctoral Degree"
"Fairfax County Public Schools","Willow Springs Elementary",23,"Bachelor's Degree"
"Fairfax County Public Schools","Willow Springs Elementary",77,"Master's Degree"
"Fairfax County Public Schools","Willow Springs Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Wolftrap Elementary",34,"Bachelor's Degree"
"Fairfax County Public Schools","Wolftrap Elementary",64,"Master's Degree"
"Fairfax County Public Schools","Wolftrap Elementary",2,"Doctoral Degree"
"Fairfax County Public Schools","Woodburn Elementary",19,"Bachelor's Degree"
"Fairfax County Public Schools","Woodburn Elementary",79,"Master's Degree"
"Fairfax County Public Schools","Woodburn Elementary",2,"Doctoral Degree"
"Fairfax County Public Schools","Woodlawn Elementary",37,"Bachelor's Degree"
"Fairfax County Public Schools","Woodlawn Elementary",58,"Master's Degree"
"Fairfax County Public Schools","Woodlawn Elementary",2,"Doctoral Degree"
"Fairfax County Public Schools","Woodley Hills Elementary",34,"Bachelor's Degree"
"Fairfax County Public Schools","Woodley Hills Elementary",61,"Master's Degree"
"Fairfax County Public Schools","Woodley Hills Elementary",1,"Doctoral Degree"
"Fairfax County Public Schools","Woodson High",22,"Bachelor's Degree"
"Fairfax County Public Schools","Woodson High",76,"Master's Degree"
"Fairfax County Public Schools","Woodson High",2,"Doctoral Degree"
"Falls Church City Public Schools","Mary Ellen Henderson Middle",19,"Bachelor's Degree"
"Falls Church City Public Schools","Mary Ellen Henderson Middle",78,"Master's Degree"
"Falls Church City Public Schools","Mary Ellen Henderson Middle",0,"Doctoral Degree"
"Falls Church City Public Schools","Meridian High",16,"Bachelor's Degree"
"Falls Church City Public Schools","Meridian High",79,"Master's Degree"
"Falls Church City Public Schools","Meridian High",4,"Doctoral Degree"
"Falls Church City Public Schools","Mount Daniel Elementary",46,"Bachelor's Degree"
"Falls Church City Public Schools","Mount Daniel Elementary",50,"Master's Degree"
"Falls Church City Public Schools","Mount Daniel Elementary",4,"Doctoral Degree"
"Falls Church City Public Schools","Oak Street Elementary",18,"Bachelor's Degree"
"Falls Church City Public Schools","Oak Street Elementary",79,"Master's Degree"
"Falls Church City Public Schools","Oak Street Elementary",0,"Doctoral Degree"
"Fauquier County Public Schools","Auburn Middle",42,"Bachelor's Degree"
"Fauquier County Public Schools","Auburn Middle",58,"Master's Degree"
"Fauquier County Public Schools","Auburn Middle",0,"Doctoral Degree"
"Fauquier County Public Schools","C. Hunter Ritchie Elementary",43,"Bachelor's Degree"
"Fauquier County Public Schools","C. Hunter Ritchie Elementary",57,"Master's Degree"
"Fauquier County Public Schools","C. Hunter Ritchie Elementary",0,"Doctoral Degree"
"Fauquier County Public Schools","C.M. Bradley Elementary",53,"Bachelor's Degree"
"Fauquier County Public Schools","C.M. Bradley Elementary",47,"Master's Degree"
"Fauquier County Public Schools","C.M. Bradley Elementary",0,"Doctoral Degree"
"Fauquier County Public Schools","Cedar Lee Middle",50,"Bachelor's Degree"
"Fauquier County Public Schools","Cedar Lee Middle",48,"Master's Degree"
"Fauquier County Public Schools","Cedar Lee Middle",2,"Doctoral Degree"
"Fauquier County Public Schools","Claude Thompson Elementary",35,"Bachelor's Degree"
"Fauquier County Public Schools","Claude Thompson Elementary",65,"Master's Degree"
"Fauquier County Public Schools","Claude Thompson Elementary",0,"Doctoral Degree"
"Fauquier County Public Schools","Fauquier High",41,"Bachelor's Degree"
"Fauquier County Public Schools","Fauquier High",52,"Master's Degree"
"Fauquier County Public Schools","Fauquier High",2,"Doctoral Degree"
"Fauquier County Public Schools","Grace Miller Elementary",43,"Bachelor's Degree"
"Fauquier County Public Schools","Grace Miller Elementary",54,"Master's Degree"
"Fauquier County Public Schools","Grace Miller Elementary",0,"Doctoral Degree"
"Fauquier County Public Schools","Greenville Elementary",47,"Bachelor's Degree"
"Fauquier County Public Schools","Greenville Elementary",50,"Master's Degree"
"Fauquier County Public Schools","Greenville Elementary",0,"Doctoral Degree"
"Fauquier County Public Schools","H.M. Pearson Elementary",45,"Bachelor's Degree"
"Fauquier County Public Schools","H.M. Pearson Elementary",55,"Master's Degree"
"Fauquier County Public Schools","H.M. Pearson Elementary",0,"Doctoral Degree"
"Fauquier County Public Schools","James G. Brumfield Elementary",51,"Bachelor's Degree"
"Fauquier County Public Schools","James G. Brumfield Elementary",49,"Master's Degree"
"Fauquier County Public Schools","James G. Brumfield Elementary",0,"Doctoral Degree"
"Fauquier County Public Schools","Kettle Run High",39,"Bachelor's Degree"
"Fauquier County Public Schools","Kettle Run High",59,"Master's Degree"
"Fauquier County Public Schools","Kettle Run High",1,"Doctoral Degree"
"Fauquier County Public Schools","Liberty High",34,"Bachelor's Degree"
"Fauquier County Public Schools","Liberty High",63,"Master's Degree"
"Fauquier County Public Schools","Liberty High",1,"Doctoral Degree"
"Fauquier County Public Schools","Margaret M. Pierce Elementary",35,"Bachelor's Degree"
"Fauquier County Public Schools","Margaret M. Pierce Elementary",65,"Master's Degree"
"Fauquier County Public Schools","Margaret M. Pierce Elementary",0,"Doctoral Degree"
"Fauquier County Public Schools","Marshall Middle",33,"Bachelor's Degree"
"Fauquier County Public Schools","Marshall Middle",65,"Master's Degree"
"Fauquier County Public Schools","Marshall Middle",2,"Doctoral Degree"
"Fauquier County Public Schools","Mary Walter Elementary",57,"Bachelor's Degree"
"Fauquier County Public Schools","Mary Walter Elementary",43,"Master's Degree"
"Fauquier County Public Schools","Mary Walter Elementary",0,"Doctoral Degree"
"Fauquier County Public Schools","P.B. Smith Elementary",32,"Bachelor's Degree"
"Fauquier County Public Schools","P.B. Smith Elementary",68,"Master's Degree"
"Fauquier County Public Schools","P.B. Smith Elementary",0,"Doctoral Degree"
"Fauquier County Public Schools","W.C. Taylor Middle",46,"Bachelor's Degree"
"Fauquier County Public Schools","W.C. Taylor Middle",50,"Master's Degree"
"Fauquier County Public Schools","W.C. Taylor Middle",0,"Doctoral Degree"
"Fauquier County Public Schools","W.G. Coleman Elementary",46,"Bachelor's Degree"
"Fauquier County Public Schools","W.G. Coleman Elementary",54,"Master's Degree"
"Fauquier County Public Schools","W.G. Coleman Elementary",0,"Doctoral Degree"
"Fauquier County Public Schools","Warrenton Middle",41,"Bachelor's Degree"
"Fauquier County Public Schools","Warrenton Middle",59,"Master's Degree"
"Fauquier County Public Schools","Warrenton Middle",0,"Doctoral Degree"
"Floyd County Public Schools","Check Elementary",36,"Bachelor's Degree"
"Floyd County Public Schools","Check Elementary",61,"Master's Degree"
"Floyd County Public Schools","Check Elementary",0,"Doctoral Degree"
"Floyd County Public Schools","Floyd County High",46,"Bachelor's Degree"
"Floyd County Public Schools","Floyd County High",45,"Master's Degree"
"Floyd County Public Schools","Floyd County High",0,"Doctoral Degree"
"Floyd County Public Schools","Floyd Elementary",45,"Bachelor's Degree"
"Floyd County Public Schools","Floyd Elementary",45,"Master's Degree"
"Floyd County Public Schools","Floyd Elementary",2,"Doctoral Degree"
"Floyd County Public Schools","Indian Valley Elementary",53,"Bachelor's Degree"
"Floyd County Public Schools","Indian Valley Elementary",47,"Master's Degree"
"Floyd County Public Schools","Indian Valley Elementary",0,"Doctoral Degree"
"Floyd County Public Schools","Willis Elementary",71,"Bachelor's Degree"
"Floyd County Public Schools","Willis Elementary",24,"Master's Degree"
"Floyd County Public Schools","Willis Elementary",0,"Doctoral Degree"
"Fluvanna County Public Schools","Carysbrook Elementary",56,"Bachelor's Degree"
"Fluvanna County Public Schools","Carysbrook Elementary",44,"Master's Degree"
"Fluvanna County Public Schools","Carysbrook Elementary",0,"Doctoral Degree"
"Fluvanna County Public Schools","Central Elementary",38,"Bachelor's Degree"
"Fluvanna County Public Schools","Central Elementary",60,"Master's Degree"
"Fluvanna County Public Schools","Central Elementary",0,"Doctoral Degree"
"Fluvanna County Public Schools","Fluvanna County High",41,"Bachelor's Degree"
