"Division","Sch.Name","English: Reading_All Students","History and Social Sciences_All Students","Mathematics_All Students","Science_All Students","English: Reading_Asian","History and Social Sciences_Asian","Mathematics_Asian","Science_Asian","English: Reading_Black","History and Social Sciences_Black","Mathematics_Black","Science_Black","English: Reading_Economically Disadvantaged","History and Social Sciences_Economically Disadvantaged","Mathematics_Economically Disadvantaged","Science_Economically Disadvantaged","English: Reading_English Learners","History and Social Sciences_English Learners","Mathematics_English Learners","Science_English Learners","English: Reading_Female","History and Social Sciences_Female","Mathematics_Female","Science_Female","English: Reading_Hispanic","History and Social Sciences_Hispanic","Mathematics_Hispanic","Science_Hispanic","English: Reading_Male","History and Social Sciences_Male","Mathematics_Male","Science_Male","English: Reading_Students with Disabilities","History and Social Sciences_Students with Disabilities","Mathematics_Students with Disabilities","Science_Students with Disabilities","English: Reading_White","History and Social Sciences_White","Mathematics_White","Science_White","English: Writing_All Students","English: Writing_Asian","English: Writing_Black","English: Writing_Economically Disadvantaged","English: Writing_English Learners","English: Writing_Female","English: Writing_Hispanic","English: Writing_Male","English: Writing_Students with Disabilities","English: Writing_White"
"Loudoun County Public Schools","Hillside Elementary",81,90,90,92,89,100,97,100,75,100,88,67,55,67,69,100,39,NA,77,75,85,86,87,90,74,83,84,89,77,94,93,94,48,75,70,71,79,87,87,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Loudoun County Public Schools","Rolling Ridge Elementary",65,90,83,67,93,100,95,87,50,71,73,64,61,91,82,63,44,NA,73,38,69,86,83,65,57,87,81,60,61,93,83,70,44,86,59,50,74,100,85,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Loudoun County Public Schools","Moorefield Station Elementary",87,96,91,88,92,100,94,90,85,100,87,72,70,88,79,54,55,86,79,50,89,97,90,88,64,88,74,67,84,95,91,88,50,70,67,47,85,91,90,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Loudoun County Public Schools","Goshen Post Elementary",88,95,93,92,90,96,95,95,80,95,83,90,63,100,84,NA,57,80,82,57,92,96,96,94,87,100,90,100,84,94,91,91,54,83,54,67,89,93,94,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Loudoun County Public Schools","John Champe High School",94,91,82,93,96,96,94,95,89,78,72,80,89,78,64,75,36,48,41,36,94,89,83,93,97,88,72,88,95,92,80,93,63,73,68,77,95,90,82,94,94,96,89,81,25,94,92,94,61,95
"Loudoun County Public Schools","Willard Intermediate School",88,95,91,93,94,98,96,96,84,90,88,89,79,88,85,80,21,55,51,41,92,96,95,94,81,90,83,89,84,94,88,91,47,72,59,66,85,95,91,92,89,95,78,83,18,93,85,84,47,85
"Loudoun County Public Schools","Steuart W. Weller Elementary",78,87,85,80,90,95,95,92,65,77,83,75,60,81,73,75,38,NA,50,36,83,82,86,78,65,82,68,63,74,91,85,83,40,62,57,31,81,86,89,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Loudoun County Public Schools","Pinebrook Elementary",87,93,91,87,91,98,94,98,81,87,93,76,73,83,81,90,54,86,72,92,88,93,90,83,95,89,87,82,86,94,92,90,64,71,69,69,84,88,88,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Loudoun County Public Schools","Mercer Middle ",91,NA,90,NA,96,NA,97,NA,84,NA,81,NA,76,NA,76,NA,32,NA,56,NA,93,NA,92,NA,80,NA,79,NA,89,NA,88,NA,56,NA,50,NA,90,NA,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Loudoun County Public Schools","Dominion High",87,74,79,79,94,85,90,88,100,65,53,69,69,55,64,57,28,27,46,26,87,75,80,79,69,52,64,56,87,74,79,80,71,44,74,50,95,88,90,95,87,98,78,68,18,89,70,84,86,96
"Loudoun County Public Schools","Belmont Station Elementary ",90,96,91,91,97,100,97,96,67,100,57,83,86,83,86,63,81,90,73,NA,91,98,90,87,84,94,89,67,89,93,91,95,66,78,68,85,91,94,92,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Loudoun County Public Schools","Seneca Ridge Middle",79,88,81,78,92,98,94,96,77,90,81,68,57,69,68,53,19,29,41,21,81,85,82,79,62,70,67,51,78,89,79,77,49,60,58,47,91,95,88,91,78,98,50,55,9,85,55,72,28,89
"Loudoun County Public Schools","Lincoln Elementary",98,100,96,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,100,93,100,NA,NA,NA,NA,100,100,100,NA,83,NA,83,NA,98,100,95,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Loudoun County Public Schools","Sycolin Creek Elementary",88,96,94,90,88,100,100,93,50,67,67,NA,50,NA,33,NA,45,100,82,NA,90,93,95,86,87,NA,91,89,87,98,93,95,67,83,72,86,90,97,95,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Loudoun County Public Schools","Newton-Lee Elementary ",87,92,91,91,93,100,97,98,86,NA,81,83,81,80,94,67,50,NA,79,NA,89,92,89,92,83,100,83,71,85,92,93,90,61,86,82,86,84,88,89,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Loudoun County Public Schools","Potowmack Elementary",68,91,81,68,78,100,93,81,60,NA,60,58,50,89,73,45,34,NA,67,15,68,84,77,69,52,87,73,54,67,96,84,67,42,57,42,33,77,90,85,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Loudoun County Public Schools","Sanders Corner Elementary",84,95,92,86,83,100,95,93,85,83,85,67,63,100,74,70,38,NA,71,50,85,91,90,86,67,86,82,80,84,98,94,87,81,100,85,60,89,96,94,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Loudoun County Public Schools","Hamilton Elementary",76,92,82,69,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,43,NA,40,NA,40,NA,78,94,82,75,43,NA,43,NA,72,91,81,62,43,86,52,17,80,97,87,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Loudoun County Public Schools","Ball's Bluff Elementary",83,95,88,89,81,83,96,100,84,100,92,91,65,93,75,76,55,NA,67,40,85,96,88,94,70,94,78,75,81,94,88,85,57,80,71,50,88,94,91,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Loudoun County Public Schools","Farmwell Station Middle",87,93,88,90,91,94,92,93,74,90,77,81,70,83,74,73,29,50,36,25,89,95,89,90,78,89,80,77,85,91,87,89,66,66,62,70,90,95,91,92,86,93,68,77,NA,93,81,79,50,88
"Loudoun County Public Schools","Tuscarora High",88,77,78,81,88,84,83,81,92,72,84,84,71,49,66,59,29,25,54,20,91,78,79,83,69,56,68,62,86,76,77,80,73,54,68,52,96,88,83,92,85,83,81,63,14,91,65,80,54,94
"Loudoun County Public Schools","J. Lupton Simpson Middle",81,87,80,82,90,88,86,83,63,68,66,58,53,63,56,50,17,20,24,11,84,88,82,85,63,72,63,65,79,86,78,79,52,63,55,51,89,95,87,90,66,83,50,35,0,77,44,56,26,71
"Loudoun County Public Schools","Evergreen Mill Elementary",79,95,86,80,89,100,95,78,64,NA,73,67,58,88,68,56,47,NA,59,27,85,93,86,80,58,88,67,55,74,97,85,80,38,NA,62,40,94,95,97,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Loudoun County Public Schools","Round Hill Elementary",84,81,94,91,80,NA,100,NA,86,NA,86,NA,72,57,92,100,NA,NA,NA,NA,89,85,93,89,85,50,100,100,80,77,95,92,67,57,81,85,84,84,94,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Loudoun County Public Schools","Ashburn Elementary",80,95,87,92,85,100,93,91,73,75,85,89,48,71,63,64,37,NA,61,86,83,93,86,89,64,92,70,80,78,98,88,95,45,73,70,75,85,98,90,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Loudoun County Public Schools","Cool Spring Elementary",68,90,75,67,71,NA,76,75,79,100,64,43,41,100,53,43,20,NA,42,11,67,86,73,67,43,100,54,44,68,93,78,67,39,80,48,27,81,88,88,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Loudoun County Public Schools","Algonkian Elementary",84,92,92,97,88,NA,100,100,88,NA,88,100,64,91,69,71,54,67,71,NA,88,92,93,96,74,92,82,100,80,91,92,98,63,88,81,92,87,89,95,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Loudoun County Public Schools","Potomac Falls High",93,85,78,90,95,94,84,94,88,68,59,75,80,72,68,78,25,58,53,48,94,83,82,89,83,79,74,84,93,88,75,90,72,63,59,72,96,88,84,94,92,96,82,80,47,94,85,90,71,94
"Loudoun County Public Schools","Lucketts Elementary",83,89,91,80,88,NA,88,NA,100,NA,100,NA,59,NA,82,56,44,NA,68,20,91,88,93,90,59,NA,77,60,76,91,88,62,57,NA,73,60,89,88,96,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Loudoun County Public Schools","Middleburg Community Charter",86,95,86,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,100,86,90,NA,NA,40,NA,89,92,86,85,50,NA,57,NA,89,100,94,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Loudoun County Public Schools","Freedom High ",97,90,90,94,97,94,95,97,92,82,79,84,93,79,82,83,NA,50,79,65,97,90,90,94,93,78,79,82,96,91,90,94,86,70,63,77,97,91,91,96,93,96,81,76,NA,96,78,89,63,94
"Loudoun County Public Schools","Brambleton Middle School",89,94,92,92,95,98,98,97,78,78,79,72,76,79,71,60,21,57,57,56,92,97,94,93,77,83,78,67,87,91,90,91,57,63,58,50,88,95,91,93,88,95,82,63,NA,91,67,84,40,88
"Loudoun County Public Schools","Hillsboro Charter Academy",80,70,89,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,50,92,100,71,NA,71,NA,79,91,85,100,67,NA,75,NA,81,74,90,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Loudoun County Public Schools","Rock Ridge High",91,92,88,92,97,98,94,96,77,82,72,80,73,76,75,73,29,68,69,58,92,91,91,92,81,79,74,79,91,94,85,91,66,77,58,71,92,92,90,92,93,97,83,82,31,94,83,91,70,93
"Loudoun County Public Schools","Riverside High",94,92,88,95,100,98,96,96,83,82,76,91,78,77,75,82,22,50,58,55,94,90,87,94,82,82,82,88,95,94,89,96,84,72,67,73,96,94,90,96,94,97,79,70,40,96,88,92,69,96
"Loudoun County Public Schools","Trailside Middle",90,94,90,90,94,96,95,93,80,85,83,90,75,79,75,70,38,NA,64,38,92,93,93,86,80,90,81,77,88,95,88,94,62,73,60,69,91,95,92,93,85,89,60,63,NA,92,72,78,49,88
"Loudoun County Public Schools","Madison's Trust Elementary",90,97,97,94,92,100,98,97,74,80,87,63,58,NA,95,88,53,NA,78,NA,92,97,98,92,82,100,97,100,87,98,96,96,55,85,75,75,92,97,98,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Loudoun County Public Schools","Discovery Elementary",81,91,88,85,92,97,93,100,63,79,75,82,66,80,78,74,60,NA,84,83,83,90,85,84,70,92,82,77,79,92,90,86,53,81,61,55,81,88,90,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Loudoun County Public Schools","Sugarland Elementary",58,95,74,57,64,83,69,63,52,100,71,83,50,96,72,54,35,93,64,25,62,93,74,57,51,96,71,51,54,95,74,58,32,89,48,11,97,100,93,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lee County Public Schools","Thomas Walker High",70,70,72,77,NA,NA,NA,NA,NA,NA,NA,NA,59,61,67,67,NA,NA,NA,NA,69,65,78,71,NA,NA,NA,NA,72,74,65,82,56,63,53,56,70,70,72,77,60,NA,NA,46,NA,65,NA,55,16,61
"Lee County Public Schools","Elydale Middle",91,86,96,74,NA,NA,NA,NA,NA,NA,NA,NA,89,86,99,68,NA,NA,NA,NA,91,83,97,65,86,NA,100,NA,91,90,94,82,84,89,95,NA,91,87,96,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lee County Public Schools","Rose Hill Elementary",80,93,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,88,75,NA,NA,NA,NA,NA,82,96,82,NA,NA,NA,NA,NA,79,91,87,NA,58,88,67,NA,81,93,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lee County Public Schools","Flatwoods Elementary",69,85,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,90,83,NA,NA,NA,NA,NA,62,78,78,NA,NA,NA,NA,NA,76,93,82,NA,44,75,67,NA,70,84,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lee County Public Schools","Jonesville Middle",80,81,83,91,NA,NA,NA,NA,NA,NA,NA,NA,77,72,80,89,NA,NA,NA,NA,84,83,85,92,NA,NA,NA,NA,77,78,81,90,61,47,63,70,80,81,83,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amherst County Public Schools","Pleasant View Elementary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lee County Public Schools","Elk Knob Elementary",75,89,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,97,80,NA,NA,NA,NA,NA,75,83,83,NA,NA,NA,NA,NA,76,94,87,NA,55,83,64,NA,75,89,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lee County Public Schools","Lee High",76,77,85,77,NA,NA,NA,NA,NA,NA,100,60,69,69,83,71,NA,NA,NA,NA,76,75,85,75,86,NA,100,100,76,79,85,78,40,54,83,53,76,77,85,76,71,NA,NA,68,NA,79,80,64,41,71
"Lee County Public Schools","Pennington Middle",78,91,87,71,NA,NA,NA,NA,NA,NA,NA,NA,74,91,86,70,NA,NA,NA,NA,82,91,87,64,88,NA,100,NA,75,91,88,77,54,77,58,35,78,91,87,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lee County Public Schools","St. Charles Elementary",79,100,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,100,89,NA,NA,NA,NA,NA,89,100,94,NA,NA,NA,NA,NA,71,100,90,NA,NA,NA,NA,NA,79,100,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lee County Public Schools","Dryden Elementary",81,91,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,89,77,NA,NA,NA,NA,NA,78,82,70,NA,NA,NA,NA,NA,83,100,87,NA,53,86,60,NA,80,90,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amherst County Public Schools","Monelison Middle",78,75,81,75,NA,NA,NA,NA,67,67,71,62,75,71,76,71,NA,NA,NA,NA,81,75,85,74,86,79,81,80,74,74,76,76,55,46,54,50,79,76,84,80,68,NA,55,54,NA,74,63,61,36,71
"Lancaster County Public Schools","Lancaster Primary",76,NA,93,NA,NA,NA,NA,NA,69,NA,92,NA,68,NA,91,NA,NA,NA,NA,NA,85,NA,89,NA,NA,NA,NA,NA,66,NA,98,NA,29,NA,43,NA,83,NA,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lancaster County Public Schools","Lancaster Middle",65,64,68,71,NA,NA,NA,NA,52,52,54,55,55,54,60,62,NA,NA,NA,NA,70,64,75,71,NA,NA,NA,NA,61,64,62,70,44,33,44,50,81,83,85,93,55,NA,38,47,NA,65,NA,46,0,77
"Lancaster County Public Schools","Lancaster High",78,55,63,75,NA,NA,NA,NA,61,30,45,57,69,43,53,67,NA,NA,NA,NA,83,55,71,75,NA,NA,NA,NA,72,55,56,74,38,39,50,40,92,78,76,92,65,NA,45,53,NA,73,NA,59,33,79
"King William County Public Schools","Acquinton Elementary",72,84,83,83,NA,NA,NA,NA,47,76,72,61,61,73,74,74,NA,NA,NA,NA,75,84,83,84,50,NA,63,NA,68,84,82,83,40,64,45,52,77,89,86,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"King William County Public Schools","Hamilton Holmes Middle",73,80,71,74,NA,NA,NA,NA,62,70,67,65,59,70,58,57,20,NA,33,NA,75,79,75,70,72,71,68,63,71,81,68,78,31,38,33,32,74,82,72,76,51,NA,41,44,NA,61,NA,41,15,51
"King William County Public Schools","King William High",85,87,81,86,NA,NA,NA,NA,63,79,80,76,72,77,64,78,NA,50,50,33,91,85,85,86,67,92,77,87,80,89,79,87,60,56,62,54,90,89,83,90,92,NA,NA,NA,NA,100,NA,86,NA,90
"King and Queen County Public Schools","Lawson-Marriott Elementary",81,86,83,85,NA,NA,NA,NA,82,83,80,100,81,85,85,81,NA,NA,NA,NA,78,82,78,92,NA,NA,NA,NA,83,100,90,77,50,67,58,33,81,83,88,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"King and Queen County Public Schools","Central High",85,68,69,78,NA,NA,NA,NA,81,37,56,72,82,68,66,72,NA,NA,NA,NA,86,69,65,76,80,56,88,64,84,67,73,79,30,54,53,53,87,85,74,89,65,NA,69,62,NA,71,40,59,33,61
"King and Queen County Public Schools","King & Queen Elementary",73,83,83,100,NA,NA,NA,NA,81,89,90,100,74,79,84,100,NA,NA,NA,NA,76,94,88,100,89,NA,100,NA,70,75,79,100,46,67,52,NA,69,82,80,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"King George County Public Schools","Potomac Elementary",82,83,86,88,83,NA,100,NA,72,69,77,75,70,62,74,80,NA,NA,NA,NA,85,81,88,94,73,100,88,75,79,85,83,82,33,25,44,30,86,84,87,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"King George County Public Schools","Sealston Elementary ",77,77,84,83,83,NA,86,NA,67,54,75,65,63,65,75,73,NA,NA,NA,NA,79,75,84,88,76,90,89,93,74,78,84,77,20,33,38,29,80,79,86,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"King George County Public Schools","King George High",87,49,91,85,NA,NA,100,NA,79,37,87,75,78,32,83,73,NA,33,NA,40,92,49,92,88,87,44,98,85,82,50,90,83,43,24,74,42,89,53,91,88,79,NA,68,64,NA,88,74,68,27,81
"King George County Public Schools","King George Elementary",73,67,78,80,100,NA,100,NA,55,39,58,52,58,45,66,63,NA,NA,NA,NA,75,63,79,77,67,71,83,100,71,71,76,83,39,45,41,45,78,71,82,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"King George County Public Schools","King George Middle",82,84,86,85,100,100,100,NA,68,72,70,68,66,67,72,66,NA,NA,NA,NA,86,83,89,84,83,85,91,82,79,84,83,86,40,44,46,45,86,87,89,90,81,NA,66,64,NA,86,81,75,34,84
"Isle of Wight County Public Schools","Smithfield Middle",77,85,82,82,75,83,75,83,65,79,72,71,59,68,68,64,50,NA,57,NA,81,84,84,81,86,100,82,90,73,85,80,83,33,46,43,50,83,86,89,87,70,83,60,48,NA,79,78,59,31,74
"Isle of Wight County Public Schools","Westside Elementary",78,78,80,78,89,NA,100,NA,62,72,65,60,56,57,60,55,NA,NA,NA,NA,80,75,83,78,83,80,83,100,75,80,78,78,48,52,42,32,85,84,87,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isle of Wight County Public Schools","Georgie D. Tyler Middle",86,81,88,84,NA,NA,NA,NA,76,70,86,75,82,73,84,78,NA,NA,NA,NA,89,82,90,84,78,83,83,100,82,79,86,84,50,44,57,50,88,82,88,85,67,NA,60,52,NA,76,83,58,38,70
"Isle of Wight County Public Schools","Carrollton Elementary",79,NA,88,NA,NA,NA,NA,NA,69,NA,72,NA,66,NA,72,NA,NA,NA,NA,NA,89,NA,91,NA,50,NA,90,NA,72,NA,85,NA,46,NA,46,NA,85,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isle of Wight County Public Schools","Smithfield High",90,73,79,84,100,100,100,100,81,52,66,71,82,50,66,69,NA,NA,NA,NA,91,72,81,84,77,76,83,91,88,74,76,85,67,31,35,52,95,83,84,92,87,100,77,77,NA,90,73,85,59,94
"Isle of Wight County Public Schools","Hardy Elementary",71,84,77,NA,NA,NA,NA,NA,58,78,65,NA,60,77,67,NA,NA,NA,NA,NA,77,83,77,NA,40,NA,80,NA,66,84,77,NA,29,42,43,NA,79,88,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isle of Wight County Public Schools","Carrsville Elementary",73,84,84,85,NA,NA,NA,NA,59,89,73,80,66,76,77,91,NA,NA,NA,NA,78,90,78,85,NA,NA,NA,NA,69,76,90,85,41,43,59,60,78,82,89,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isle of Wight County Public Schools","Windsor High",90,86,86,90,NA,100,100,100,71,78,73,76,77,74,77,83,NA,NA,NA,NA,92,87,85,89,100,75,82,85,88,86,87,90,62,52,60,62,95,88,90,93,88,NA,72,78,NA,92,100,84,62,93
"Isle of Wight County Public Schools","Windsor Elementary",82,86,88,66,NA,NA,NA,NA,69,71,76,36,73,79,79,57,NA,NA,NA,NA,84,85,90,68,73,NA,100,80,80,86,87,65,48,57,46,20,86,90,91,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Highland County Public Schools","Highland High",96,74,81,88,NA,NA,NA,NA,NA,NA,NA,NA,94,70,78,84,NA,NA,NA,NA,97,78,90,94,NA,NA,NA,NA,95,68,71,80,100,67,73,57,96,77,80,87,83,NA,NA,81,NA,94,NA,69,NA,82
"Highland County Public Schools","Highland Elementary",91,80,94,92,NA,NA,NA,NA,NA,NA,NA,NA,86,NA,93,80,NA,NA,NA,NA,80,NA,87,83,NA,NA,NA,NA,100,NA,100,100,NA,NA,NA,NA,91,80,94,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Henry County Public Schools","Mount Olivet Elementary ",77,65,80,73,NA,NA,NA,NA,73,50,71,55,67,56,74,65,NA,NA,NA,NA,83,65,81,61,77,NA,85,100,73,65,80,83,26,13,43,25,80,78,89,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Henry County Public Schools","Stanleytown Elementary",74,80,87,82,NA,NA,NA,NA,63,43,78,67,68,71,83,90,55,71,73,NA,73,75,88,89,63,75,81,NA,74,85,87,77,42,89,65,50,78,88,91,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Henry County Public Schools","Rich Acres Elementary",82,85,91,95,NA,NA,NA,NA,79,79,89,100,81,85,91,93,44,NA,78,NA,85,95,96,94,61,67,83,NA,79,77,88,96,69,50,81,100,91,94,98,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Henry County Public Schools","Laurel Park Middle ",79,70,85,76,100,NA,100,NA,72,51,80,60,73,59,82,72,9,NA,67,NA,85,73,89,77,78,73,88,79,74,67,82,75,47,42,57,43,82,79,87,83,73,NA,61,70,NA,78,63,68,35,80
"Henry County Public Schools","Meadow View Elementary",75,87,82,80,NA,NA,NA,NA,57,75,66,71,75,89,78,74,55,82,82,NA,75,81,82,87,73,86,88,94,76,94,82,74,59,76,59,54,81,92,86,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Henry County Public Schools","Fieldale-Collinsville Middle ",68,73,78,73,NA,NA,NA,NA,59,57,69,65,64,69,75,72,14,60,57,40,73,77,82,73,60,71,85,58,63,70,74,73,43,58,52,36,73,79,79,80,54,NA,54,49,20,60,42,48,25,58
"Henry County Public Schools","Campbell Court Elementary",76,86,88,70,NA,NA,NA,NA,70,75,90,67,73,93,86,64,75,NA,92,100,70,78,90,63,75,NA,83,71,79,91,86,78,65,57,71,56,76,89,89,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Henry County Public Schools","Drewry Mason Elementary",76,77,85,70,NA,NA,NA,NA,61,53,73,75,69,71,79,61,63,75,94,NA,77,75,86,65,73,78,95,67,74,78,83,75,44,58,59,33,78,86,86,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Henry County Public Schools","G.W. Carver Elementary ",73,84,84,81,NA,NA,NA,NA,70,82,82,89,69,78,82,74,50,90,94,NA,76,88,89,80,66,81,89,85,71,79,81,82,48,73,63,70,77,89,85,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Henry County Public Schools","Axton Elementary",63,55,78,70,NA,NA,NA,NA,52,47,74,59,55,49,76,70,48,27,74,NA,69,55,80,72,63,36,83,90,58,56,77,69,29,40,46,22,70,69,80,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Henry County Public Schools","Sanville Elementary",71,75,84,69,NA,NA,NA,NA,67,60,67,NA,67,69,82,73,NA,NA,NA,NA,77,67,84,80,78,NA,100,NA,65,83,84,58,52,59,75,50,72,80,86,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Henry County Public Schools","Magna Vista High",89,79,82,86,NA,NA,NA,NA,89,72,83,85,86,71,79,79,40,36,71,50,94,76,89,87,82,81,89,84,84,82,75,85,73,56,77,56,90,83,80,89,73,NA,73,73,38,81,66,67,56,74
"Henry County Public Schools","Bassett High",84,71,79,78,NA,NA,NA,NA,74,57,75,62,81,59,72,69,33,39,68,44,89,70,85,80,71,67,78,72,78,71,74,76,45,41,67,57,89,75,82,83,74,NA,49,63,36,80,60,67,22,82
"Henrico County Public Schools","Glen Allen High",92,80,90,95,93,88,97,96,83,66,80,88,78,63,80,87,36,38,57,60,94,77,91,94,91,88,83,93,90,82,89,96,63,69,68,78,95,84,94,96,89,87,75,75,18,93,88,84,50,93
"Henrico County Public Schools","Holman Middle ",92,98,94,97,96,99,98,99,85,100,89,94,83,100,84,98,47,NA,58,NA,93,98,94,97,86,100,88,96,90,98,93,97,65,70,70,72,92,97,94,96,93,95,89,85,NA,96,86,90,57,93
"Henrico County Public Schools","Harvie Elementary",69,75,82,78,NA,NA,NA,NA,68,74,81,75,65,71,78,74,NA,NA,NA,NA,73,82,85,80,86,NA,88,NA,65,67,77,74,42,38,60,54,83,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Henrico County Public Schools","Colonial Trail Elementary",89,91,94,93,93,95,98,97,76,71,84,100,81,87,93,93,67,NA,83,71,94,92,94,95,79,NA,71,63,86,89,94,92,58,64,70,89,89,90,95,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Henrico County Public Schools","Elko Middle",57,72,67,70,NA,NA,NA,NA,51,62,60,63,51,62,61,59,24,NA,53,NA,61,77,72,74,67,77,81,78,54,66,63,66,32,35,42,29,64,86,76,80,40,NA,36,32,NA,48,20,31,24,49
"Henrico County Public Schools","Ridge Elementary",67,68,75,81,54,NA,84,78,65,46,71,86,61,62,71,77,29,NA,55,50,71,68,78,82,56,69,62,65,62,69,73,79,39,22,36,55,77,71,86,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Henrico County Public Schools","David A. Kaechele Elementary ",93,93,97,100,94,93,100,100,80,NA,100,NA,60,NA,60,NA,NA,NA,NA,NA,93,92,96,100,88,NA,100,NA,92,93,97,100,48,50,67,NA,93,91,95,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Henrico County Public Schools","Short Pump Middle",92,97,93,96,93,99,97,98,79,96,82,88,81,93,77,81,63,NA,80,NA,94,98,94,99,86,95,86,91,89,96,93,94,54,65,61,50,93,97,94,96,88,90,81,71,NA,94,76,83,38,88
"Henrico County Public Schools","Shady Grove Elementary",95,97,96,97,95,100,98,100,94,100,94,100,83,100,83,NA,33,NA,75,NA,96,98,97,98,100,NA,100,100,93,95,96,97,74,76,83,100,94,96,96,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
